Genero,Periodo,CastillayLeon,Espanna
both,2008,20218.21,21883.42
both,2009,21037.13,22511.47
both,2010,20960.87,22790.2
both,2011,21029.37,22899.35
both,2012,20569.14,22726.44
both,2013,20440.56,22697.86
both,2014,20524.83,22858.17
both,2015,21296.1,23106.3
both,2016,21551.57,23156.34
both,2017,21846.88,23646.5
both,2018,22034.53,24009.12
both,2019,22061.44,24395.98
both,2020,22948.76,25165.51
both,2021,23564.33,25896.82
both,2022,24186.89,26948.87
female,2008,17573.56,18910.62
female,2009,18249.87,19502.02
female,2010,17683.88,19735.22
female,2011,18193.91,19767.59
female,2012,17552.07,19537.33
female,2013,17429.41,19514.58
female,2014,17682.88,19744.82
female,2015,18523.74,20051.58
female,2016,18662.42,20131.41
female,2017,18796.93,20607.85
female,2018,19056.53,21011.89
female,2019,19414.11,21682.02
female,2020,20314.96,22467.48
female,2021,20795.39,23175.95
female,2022,21773.27,24359.82
male,2008,22117.28,24203.33
male,2009,23116.47,25001.05
male,2010,23640.67,25479.74
male,2011,23482.58,25667.89
male,2012,23473.82,25682.05
male,2013,23379.0,25675.17
male,2014,22904.8,25727.24
male,2015,24135.64,25992.76
male,2016,24445.65,25924.43
male,2017,24782.8,26391.84
male,2018,24714.04,26738.19
male,2019,24665.79,26934.38
male,2020,25549.98,27642.52
male,2021,26263.49,28388.69
male,2022,26548.08,29381.84
